id,reoffend,length,severity,age,number,parent_offender
p1,yes,16.924,3.2417,15.817,2.3268,no
p2,no,11.769,5.9414,10.134,3.5441,no
p3,no,15.515,6.8631,10.396,2.9986,yes
p4,yes,11.154,6.4071,12.974,4.1165,no
p5,no,18.713,6.452,11.431,3.7817,no
p6,yes,10.455,7.6789,15.277,6.7737,no
p7,yes,9.1804,8.0765,14.011,2.4241,no
p8,yes,13.163,1.2359,13.572,4.6976,yes
p9,no,19.815,8.0898,14.266,2.991,yes
p10,yes,16.677,5.0605,15.568,1.6781,yes
p11,yes,3.8336,8,14.935,7.7945,no
p12,no,24.532,5.7808,10.726,2,yes
p13,yes,13.647,4.8801,11.647,2.9616,yes
p14,yes,13.025,7.3928,12.265,5.3845,no
p15,yes,8.83,9.3186,16.431,6.2814,no
p16,yes,13,8.3658,15.776,3.3724,yes
p17,yes,11.306,9.3754,13.905,4.9068,yes
p18,yes,10.992,8.5178,13.789,7.3518,no
p19,yes,11.478,5.2193,9.5755,3.5728,yes
p20,yes,14.897,4.2042,10.924,4.184,no
p21,no,18.316,5.5807,13.83,NA,no
p22,no,19.586,3.893,12.593,5.8728,no
p23,no,22.603,3.535,11.862,0.91661,no
p24,no,18.212,5.3813,16.353,0.34863,no
p25,no,21.414,6.9988,8.2584,3.6877,no
p26,no,NA,6.8334,13.255,1.0688,no
p27,yes,13.173,7.4623,15.539,1.7945,no
p28,yes,14.744,8.9064,11.666,1.3925,yes
p29,no,16.224,6.0809,11.407,0.66359,no
p30,yes,13.063,7.3639,13,3.5112,yes
p31,yes,6.8202,5.2571,NA,8.023,no
p32,yes,9.213,8.404,16.71,9.2697,yes
p33,yes,12.852,7,11.728,4.3323,yes
p34,no,20.477,6.3185,13.203,1.283,no
p35,no,20.124,4.3082,13.092,2.1369,no
p36,no,13.769,10.006,13.092,6.7998,no
p37,yes,NA,4.9237,14.172,3.3049,yes
p38,no,19.358,4.5983,12.154,1.467,no
p39,no,14.421,6.8018,14.237,1.0282,no
p40,yes,10.562,2.3354,12.772,5.0678,yes
p41,yes,7.1945,4.2877,14.134,4.2266,no
p42,yes,9.8893,8.0106,14.755,6.1807,yes
p43,no,18.874,7,6.7373,3.4323,yes
p44,no,19.982,5.5845,12.362,4.0513,no
p45,no,14.575,5.5309,13.109,3.1315,no
p46,yes,13.199,7,13.311,6.8396,NA
p47,yes,10.275,5.506,17.376,3.4797,yes
p48,no,17.916,6.6234,16.08,4.2017,no
p49,no,17.106,5.3322,13.424,2.0237,NA
p50,no,18.04,8.2741,12.862,4.5946,no
p51,yes,15.595,6.9889,16.485,4.3505,no
p52,no,13.478,8.3581,13.591,4.8707,no
p53,no,22.635,5.1977,11.674,2.7296,yes
p54,no,16.873,8.2021,13.339,3.3944,no
p55,no,17.44,9.6296,9.096,2.6972,no
p56,yes,10.97,8.4555,14.229,5.9312,yes
p57,no,12.028,8.3487,12.785,5.1404,no
p58,yes,13.046,6.0767,16.243,4.5925,yes
p59,yes,8.056,8.5054,13.735,7.277,no
p60,yes,NA,9.7862,NA,6.4588,yes
p61,no,23.859,4.9134,10.673,3.9915,no
p62,no,17.48,7.4518,13.447,4.7449,yes
p63,yes,17.761,0,12.926,7.562,no
p64,no,21.171,8.7835,9.4661,2.6386,no
p65,yes,17.404,4.4303,12.272,2.1941,yes
p66,yes,13.335,6.5664,15.263,5.7595,yes
p67,yes,7.8052,7.9091,12.679,4.7651,yes
p68,yes,11.265,6.7474,15.858,5.5729,no
p69,yes,12.942,5.5433,13.727,4.0004,yes
p70,yes,9.1131,7.2221,14.786,6.1887,NA
p71,no,19.118,8.3843,14.669,4.3722,yes
p72,no,19.169,7.3585,14.117,2.9371,no
p73,yes,12.555,8.3114,14.45,1.4251,yes
p74,yes,10.351,7.8919,14.574,3.4334,yes
p75,no,12.075,8.0472,12.95,1.1228,no
p76,yes,14.353,8.7851,11.56,5.5683,yes
p77,yes,10.347,7.079,14.874,3.4583,yes
p78,no,17.276,6.4842,9.0435,1.3016,no
p79,no,NA,9.0712,13.089,6.0212,no
p80,yes,12.414,6.6652,12.822,1.9949,yes
p81,yes,10.691,7.7144,12.478,3.4734,yes
p82,yes,14.227,7.0382,10.344,3.0208,yes
p83,no,18.062,NA,8.9554,3.9238,yes
p84,no,21.206,4.9616,9.6272,1.7718,no
p85,yes,17.61,3.1104,12.781,6.0438,yes
p86,yes,11.864,4.791,11.583,5.1998,yes
