id,activity,aggressive_vocal,speed,lookaway,cliffs,jibs,lessons
p1,snowboard,6.8803,15.564,22.326,5.1271,5.0489,-0.7481
p2,snowboard,5.4311,7.7865,25.953,7.2232,7.9541,0.15733
p3,snowboard,11.042,16.342,30.465,8.2495,4.9064,0.28104
p4,snowboard,10.988,14.625,28.104,7.4863,5.9138,0.30451
p5,snowboard,1.2226,4.4883,31.132,-0.27213,8.6979,0.38121
p6,snowboard,3.0976,9.7486,22.59,4.5254,6.0433,0.65721
p7,snowboard,10.108,12.153,28.834,3.4324,7.7916,0.73868
p8,snowboard,4.7138,6.9822,25.015,5.7365,2.9159,0.82692
p9,snowboard,7.9521,16.512,25.101,7.001,6.2685,0.85086
p10,snowboard,8.2786,7.0042,22.123,1.9137,2.9503,0.87198
p11,snowboard,5.0824,6.7965,21.701,9.1014,7.6572,0.95122
p12,snowboard,6.5726,10.192,25.305,2.5128,6.2857,1.182
p13,snowboard,8.1168,14.644,24.792,6.9261,6.2554,1.2902
p14,snowboard,8.274,12.01,25.435,8.0333,6.5904,1.3182
p15,snowboard,5.7179,16.053,23.368,4.2997,8.244,1.4229
p16,snowboard,8.4538,7.6149,24.822,4.003,10.916,1.4464
p17,snowboard,9.0323,13.84,27.541,5.773,7.8197,1.4514
p18,snowboard,8.2626,11.482,23.2,7.8198,8.3097,1.5472
p19,snowboard,6.8363,12.559,22.172,5.4784,5.7449,1.5504
p20,snowboard,3.3319,11.647,28.959,4.5844,4.8339,1.5716
p21,snowboard,11.544,8.5574,26.356,3.9028,7.5907,1.6468
p22,snowboard,12.421,12.557,29.95,0.88196,8.2032,1.6612
p23,snowboard,5.3341,9.4154,24.873,8.3092,4.7802,1.7543
p24,snowboard,8.7952,16.946,30.666,4.2397,7.941,1.7747
p25,snowboard,5.9854,12.745,25.228,9.8547,7.3582,1.8491
p26,snowboard,8.3898,14.863,23.116,3.2622,4.8858,1.8525
p27,snowboard,6.0011,12.743,25.142,10.597,5.3369,1.871
p28,snowboard,11.435,14.954,28.902,7.2979,6.9041,1.8712
p29,snowboard,7.4376,12.39,21.36,6.0465,3.7347,1.8982
p30,snowboard,6.1469,8.8294,25.861,6.7089,4.5768,1.9451
p31,snowboard,10.577,12.714,28.371,8.8967,4.9951,1.9801
p32,snowboard,16.181,7.9741,21.174,7.5012,8.2103,2.1063
p33,snowboard,7.3691,8.9253,24.374,2.6505,6.1242,2.1248
p34,snowboard,9.7728,14.196,29.552,5.2696,6.823,2.1289
p35,snowboard,4.0384,17.055,25.133,4.782,5.2103,2.2485
p36,snowboard,7.5546,16.173,32.502,3.6914,8.5351,2.2508
p37,snowboard,3.5432,14.996,23.125,6.5147,7.4925,2.2589
p38,snowboard,17.722,19.614,30.66,5.2099,10.599,2.2767
p39,snowboard,9.8623,14.519,20.692,8.8994,6.2967,2.3035
p40,snowboard,10.861,14.851,22.575,5.9863,7.6006,2.3307
p41,snowboard,8.5398,12.326,31.66,5.2717,2.5086,2.3738
p42,snowboard,7.5718,12.169,24.522,8.2161,0.18432,2.3752
p43,snowboard,11.722,9.029,27.224,1.3146,7.4808,2.4075
p44,snowboard,9.4079,9.9447,22.708,6.0062,6.6216,2.4572
p45,snowboard,8.6863,6.8736,25.674,0.1442,2.8322,2.4724
p46,snowboard,8.119,11.72,25.463,6.6797,8.5083,2.508
p47,snowboard,4.3452,14.142,25.77,4.8778,11.207,2.516
p48,snowboard,9.6602,12.074,21.892,3.2041,8.989,2.6112
p49,snowboard,7.2608,14.714,24.414,3.3966,10.807,2.6545
p50,snowboard,9.9201,15.309,28.911,6.1095,4.6028,2.6567
p51,snowboard,4.8339,9.3629,21.043,7.0578,6.0054,2.6591
p52,snowboard,7.1053,12.528,19.667,6.2875,8.8368,2.8038
p53,snowboard,7.9843,11.089,23.908,5.4146,9.7813,2.8708
p54,snowboard,8.7092,9.2501,23.804,6.3553,9.7235,2.8924
p55,snowboard,3.0936,10.934,24.581,3.0439,10.548,2.9234
p56,snowboard,11.186,9.7535,28.48,2.6144,7.5765,2.978
p57,snowboard,8.6608,13.024,25.629,8.6321,5.089,3.1137
