id,team,num_monsters,previous_exposure,hits
p1,Team 1,6,Yes,12.221980004784465
p2,Team 1,10,No,32.30343974704742
p3,Team 1,10,Yes,26.262249933433534
p4,Team 1,10,No,44.863951331329346
p5,Team 1,10,No,33.2038593875885
p6,Team 1,10,Yes,28.38416924114227
p7,Team 1,12,No,20.105890146446228
p8,Team 1,12,No,13.621470006656647
p9,Team 1,12,No,82.21741824264527
p10,Team 1,12,No,14.790619931769372
p11,Team 1,12,No,14.825519898486139
p12,Team 1,12,No,17.125429826927185
p13,Team 1,12,No,48.64013055915832
p14,Team 1,14,No,83.3691179763794
p15,Team 1,14,No,42.44189047927856
p16,Team 1,14,No,67.83512723083496
p17,Team 1,14,No,87.60249234313964
p18,Team 1,14,No,8
p19,Team 1,14,No,80.57712063903809
p20,Team 1,14,No,34.12871058578491
p21,Team 1,14,No,40.74923834915161
p22,Team 1,14,No,82.81421324844361
p23,Team 1,14,No,24.866249600601197
p24,Team 1,14,No,85.70741824264526
p25,Team 1,14,No,22.803660153102875
p26,Team 1,14,No,86.90448968048096
p27,Team 1,14,No,19.41487030620575
p28,Team 1,14,No,79.28581771011352
p29,Team 1,14,No,35.60149034614563
p30,Team 1,16,No,68.80884154434204
p31,Team 1,16,No,74.26022250289917
p32,Team 1,16,No,44.0961503993988
p33,Team 1,16,No,34.683620306205746
p34,Team 1,16,No,58.0561503993988
p35,Team 1,16,No,69.04965239639283
p36,Team 1,16,No,60.841171570968626
p37,Team 1,16,No,27.790870639038086
p38,Team 1,16,No,22.011430159759524
p39,Team 1,16,No,59.44516957397461
p40,Team 1,16,Yes,12
p41,Team 1,18,No,52.07777936096191
p42,Team 1,18,No,82.81421324844361
p43,Team 1,18,No,35.22806078548431
p44,Team 1,18,No,45.48516957397461
p45,Team 1,20,No,94.10435872192383
p46,Team 1,20,No,29.825539613914486
p47,Team 1,20,No,18.982110053253173
p48,Team 2,10,Yes,49.01355845565796
p49,Team 2,12,No,39.21712956066131
p50,Team 2,12,No,20.936509853553773
p51,Team 2,14,No,82.19997117156983
p52,Team 2,14,No,75.33863255615235
p53,Team 2,14,No,27.909530359458923
p54,Team 2,14,Yes,47.292988349151614
p55,Team 2,16,Yes,31.17268015975952
p56,Team 2,16,No,76.0017277633667
p57,Team 2,16,No,38.03751018638611
p58,Team 2,16,No,37.678039613914486
p59,Team 2,16,No,24.12985972042084
p60,Team 2,18,No,59.06127077217102
p61,Team 2,18,No,86.61133095855713
p62,Team 2,18,No,94.08341691131592
p63,Team 2,18,No,49.39048109169006
p64,Team 2,18,No,91.78351218338013
p65,Team 2,18,No,66.58571125144958
p66,Team 2,18,No,56.50310146446228
p67,Team 2,18,No,79.94543149108887
p68,Team 2,20,No,77.38027936096192
p69,Team 2,20,No,76.01918149108887
p70,Team 2,20,No,84.00430186386109
p71,Team 2,22,No,17.29295016641617
p72,Team 2,22,No,86.13319733734131
p73,Team 3,8,Yes,35.45141957397461
p74,Team 3,10,Yes,29.13451977367401
p75,Team 3,10,Yes,37.17547942752838
p76,Team 3,10,Yes,16.42393991346359
p77,Team 3,10,Yes,42.83975159759522
p78,Team 3,12,Yes,20.029109886837006
p79,Team 3,12,Yes,33.58775985355377
p80,Team 3,12,Yes,61.49031111831665
p81,Team 3,12,Yes,62.04871058578491
p82,Team 3,12,Yes,92.66648308868409
p83,Team 3,12,Yes,32.67337956066132
p84,Team 3,12,Yes,14.521890063238144
p85,Team 3,12,Yes,35.64686038608551
p86,Team 3,12,Yes,21.617059620571137
p87,Team 3,12,Yes,39.99539973373413
p88,Team 3,12,Yes,28.42604953403473
p89,Team 3,14,Yes,33.612189747047424
p90,Team 3,14,Yes,23.156150399398804
p91,Team 3,14,Yes,44.77321125144958
p92,Team 3,14,No,22.44768015975952
p93,Team 3,14,Yes,52.24180912132263
p94,Team 3,14,Yes,56.19248901481628
p95,Team 3,14,Yes,42.413969174575804
p96,Team 3,14,Yes,35.37812989349365
p97,Team 3,14,Yes,33.975150066566464
p98,Team 3,14,Yes,15.87949985022545
p99,Team 3,14,Yes,8.941379935097695
p100,Team 3,14,Yes,36.557749267768855
p101,Team 3,14,Yes,49.191550532531735
p102,Team 3,14,Yes,40.68641957397461
p103,Team 3,16,Yes,11.747339998491853
p104,Team 3,16,Yes,34.788319374275204
p105,Team 3,16,Yes,32.71874960060119
