id,i1,i2,i3,ss1,ss2,ss3,se1,se2,d1,d2,d3,d4,q1,q2,q3,q4,q5
p1,9,11,19,34,42,16,-21,-39,27,20,16,-2,-22,-33,-4,-28,-14
p2,8,9,5,-21,13,-26,19,20,-25,-31,-37,-26,29,17,5,40,27
p3,17,17,19,3,15,2,4,-18,11,-1,24,29,-2,-21,-17,-31,-1
p4,-2,18,16,-8,1,3,-4,-16,-3,9,34,-11,-33,-17,-29,-16,-6
p5,-16,13,-25,0,4,6,-22,-20,30,24,40,45,-39,-31,-27,-43,-35
p6,-16,-1,-1,0,-18,6,5,9,-2,-4,-4,-1,-14,-12,-3,-5,-28
p7,19,-1,-3,-3,17,-6,-16,-37,22,6,5,-3,6,-2,8,12,-18
p8,-14,-4,-8,0,8,15,1,-28,21,-3,-8,1,-16,2,-8,-22,-22
p9,-21,-12,-24,-13,-16,-31,13,-11,14,14,23,18,5,10,2,-2,-17
p10,4,-11,-15,12,12,-5,-16,-16,-21,-3,-18,15,25,18,-4,18,6
p11,1,9,-14,5,-11,23,-16,-14,29,23,28,8,1,-7,-20,7,-11
p12,1,20,-2,12,-7,5,3,-6,11,30,42,31,-18,-31,-25,-18,-9
p13,-15,-13,-11,3,13,15,-10,-11,33,18,17,13,-21,-15,6,-14,5
p14,-18,5,-8,11,-5,-27,-2,-1,15,-7,23,-1,5,-3,13,-7,4
p15,-6,20,22,-2,18,4,11,-2,-14,6,1,2,-5,0,-9,1,-3
p16,-2,3,-11,11,19,18,21,8,4,-19,19,-2,-30,-13,-9,-17,-26
p17,14,0,1,-6,-11,20,-4,-8,-33,-16,-22,-20,33,7,13,24,42
p18,5,3,5,-13,-16,-19,-5,-16,-10,-6,-5,-8,4,-14,24,14,-8
p19,19,-10,13,5,-4,0,31,2,9,4,3,-5,18,11,31,15,-4
p20,18,24,27,8,7,21,-19,-12,8,-9,-12,-2,9,-21,6,-10,3
p21,-12,-9,-1,-9,-1,1,-1,-6,0,9,11,-10,21,-1,1,9,7
p22,3,-11,5,-16,-24,-5,29,28,-42,-30,-37,-48,23,28,27,41,16
p23,26,7,21,4,-15,-19,-2,30,-27,-24,-23,-22,0,14,7,21,21
p24,0,2,-16,25,-2,0,-6,6,-3,21,-14,22,-13,4,5,5,-18
p25,20,0,-4,9,26,26,-21,-31,-7,-8,7,15,-26,-20,-26,-11,-10
p26,4,-19,-23,15,12,1,-12,-8,-5,-2,16,2,-9,-12,9,-4,0
p27,4,5,1,-3,-8,-1,4,6,13,13,9,-3,-16,-5,-1,14,-6
p28,-1,-8,-8,-19,0,4,18,21,6,-25,-4,-6,-13,13,-13,5,-21
p29,-10,-6,-1,-8,-1,-16,-18,-21,-14,-2,-8,-8,-9,-7,0,2,18
p30,-11,-29,5,-30,-10,-22,22,7,0,-13,-2,-8,4,5,-22,5,-2
p31,9,-9,-20,-18,-14,-32,10,27,-14,-7,6,13,15,3,3,13,15
p32,-9,6,6,-25,-13,-5,18,7,-40,-31,-39,-15,42,29,47,28,39
p33,19,1,-2,30,20,6,-23,-23,1,15,1,11,4,-12,-1,-5,3
p34,6,14,-8,25,-16,12,4,-22,-2,34,10,1,-35,-13,-10,-26,-23
p35,-3,-5,-1,4,9,19,-31,-9,4,11,-24,-10,-26,7,-9,-12,4
p36,4,41,27,7,7,23,-4,-13,6,12,18,11,-9,-1,14,-2,-5
p37,-1,-11,18,-5,-4,11,-2,-9,-5,-11,3,-6,-7,5,7,3,28
p38,14,20,1,-8,-16,10,-1,-20,12,-3,8,-2,-11,-16,2,-9,-16
p39,19,-11,9,5,-28,-9,4,-7,-4,9,12,-4,24,23,27,29,13
p40,-1,5,-8,4,18,-13,-29,-10,22,17,-2,10,-29,-8,-28,-24,-3
p41,-6,-5,-1,2,36,3,-10,-7,1,6,0,-22,6,4,-4,-4,26
p42,12,21,4,9,22,16,-15,6,3,13,23,-9,-26,-22,-23,-28,-18
p43,7,4,-1,-9,-25,-13,10,6,-2,-7,-11,-11,8,8,11,9,0
p44,6,-2,9,1,10,4,-22,-17,7,1,11,7,-24,-36,-31,-66,-31
p45,-14,-20,-22,2,18,-3,-8,-17,13,-5,2,5,-4,-22,-11,13,-1
p46,11,-1,-3,-8,7,-15,11,5,-15,-4,-7,-7,21,6,-9,3,10
p47,21,2,13,29,35,16,5,0,2,31,16,-5,-3,-9,-33,-15,-16
p48,5,2,-10,-2,-3,-13,-20,-6,-23,-6,-13,-14,-10,9,-5,-6,5
p49,6,6,3,12,11,12,4,28,-12,-12,2,18,6,28,4,31,37
p50,-1,-24,-15,-3,-4,-15,-5,-6,11,-5,18,0,6,-34,-18,-14,-5
p51,0,-5,4,11,1,9,13,12,-6,4,7,0,-1,-7,16,-10,-3
p52,41,13,10,3,-6,7,-17,-27,-15,20,5,-5,-10,1,5,-3,27
p53,-17,-15,3,12,10,-9,28,9,-23,5,0,-9,12,14,3,-9,10
p54,-38,-20,-8,-6,0,-1,13,12,-42,-22,-35,-20,24,54,42,22,44
p55,4,10,27,-6,9,-11,-9,1,3,-5,15,-3,-27,-28,-30,-32,-24
p56,-21,-14,5,-16,-23,-3,28,19,3,-17,-7,-12,5,-6,12,15,13
p57,19,14,3,0,-7,7,-16,9,-18,-7,-7,1,13,18,22,23,-10
p58,0,2,18,38,11,14,-1,7,3,23,30,7,-32,-21,-7,-32,-29
p59,26,8,17,0,5,-5,-10,-6,9,17,4,-3,2,-16,-6,12,6
p60,8,9,-11,-19,-14,-18,-28,-24,-9,-3,6,-12,9,10,7,4,8
p61,2,8,-5,8,9,21,2,-4,16,-1,0,6,3,18,31,14,25
p62,5,1,9,3,-10,-4,18,-12,-34,-17,-24,-24,18,-2,-11,37,30
p63,-14,-10,10,-27,-6,-14,18,14,-31,0,-31,-31,14,15,1,2,-9
p64,0,23,-11,-6,-5,-3,4,8,3,11,1,-3,-8,-2,3,15,20
p65,-10,-11,-12,3,-5,-20,18,14,-20,-11,-1,-7,5,22,9,9,20
p66,-15,9,6,13,9,11,6,-4,-20,6,-11,-26,5,21,22,28,25
p67,-1,3,-5,-30,-15,-14,15,20,2,-21,6,-20,40,45,46,35,55
p68,17,7,-16,15,25,13,-24,-22,18,31,47,46,-52,-42,-25,-40,-11
p69,1,8,-8,-11,-19,-15,-2,7,-9,-11,-19,-9,14,16,17,14,26
p70,-29,-8,-13,-11,-4,-2,22,21,-11,2,-10,-6,24,25,14,35,18
p71,1,-1,-3,14,13,7,-2,-3,7,-6,-17,19,-15,-19,-17,5,-14
p72,-7,15,-19,-1,-5,15,3,-5,-7,17,-10,13,13,10,21,8,-3
p73,-5,4,-8,-14,2,-14,5,-7,-13,6,-5,16,-27,-15,-9,-17,-3
p74,-40,-11,-23,-20,-9,-2,18,16,31,31,14,15,-5,19,8,-18,-7
p75,-13,-17,-4,4,8,1,-8,4,-12,11,1,0,-3,1,2,-16,4
p76,1,-6,6,-13,11,-10,15,-25,-6,31,18,8,-9,-20,-10,-18,0
p77,2,-18,-24,22,21,16,-4,7,2,16,23,12,-22,-31,-23,-29,-26
p78,17,12,12,-1,13,11,-12,3,11,-4,-13,5,-6,-6,-4,-32,10
p79,0,24,9,-15,-26,-26,7,-6,8,2,-11,2,11,5,13,6,18
p80,12,10,16,-2,17,15,-15,-9,2,-10,-9,19,6,7,-5,-4,2
p81,20,2,26,14,-12,7,-24,-3,5,4,0,6,-4,7,4,6,22
p82,1,11,26,6,1,10,-8,-7,24,22,19,33,-16,-16,-17,-28,-21
p83,6,0,-6,-9,-9,20,4,-28,24,19,15,14,4,11,0,4,16
p84,17,2,-13,-1,-17,9,10,-6,-3,-32,-15,-2,16,40,38,34,2
p85,-14,-8,-33,1,-16,-7,4,-10,-3,-13,5,0,3,5,-12,-19,-2
p86,5,11,23,10,-1,1,9,-3,-18,11,-3,-15,15,39,29,19,18
p87,4,6,11,13,-28,3,-1,0,11,20,26,-6,23,-14,11,-15,3
p88,-30,-24,-27,4,12,5,-16,1,-16,-20,-20,1,36,18,24,32,19
p89,1,17,2,3,-8,0,6,6,12,3,11,22,-8,-20,-28,6,0
p90,0,5,-3,5,14,13,-11,2,6,2,11,30,-9,-40,-15,-17,-6
p91,1,3,13,-5,-9,-23,19,10,2,0,11,-4,-6,7,0,25,9
p92,-14,-5,-19,-14,-34,-26,-16,-18,31,14,16,7,-12,-19,-34,-28,-23
p93,-26,-24,-11,-18,-15,3,22,17,-36,-16,-17,-3,10,24,-9,6,10
p94,16,17,9,-2,16,12,27,9,5,-6,5,-1,-6,6,-4,13,13
p95,-16,2,-22,-30,-22,-6,8,7,4,-3,-8,-39,12,18,11,20,20
p96,13,-16,-13,3,-20,-17,14,-5,9,-1,22,11,3,-14,-10,-8,-14
p97,12,-16,-19,10,0,15,-4,8,-12,-15,2,12,16,32,5,20,-10
p98,8,1,20,20,-3,12,14,-11,12,-10,6,-4,-16,-19,-14,-19,-16
p99,14,0,12,-3,14,8,-15,-6,1,20,-4,-6,3,-1,7,-3,-12
p100,15,-4,14,4,7,2,-7,5,14,-9,9,19,-25,-7,-22,-35,-24
p101,-9,-35,-7,1,-6,8,10,0,-26,-53,-12,-50,51,19,49,7,45
p102,20,19,26,-15,3,-7,30,10,-21,-19,-19,-2,3,-26,-10,-7,-13
p103,28,19,4,-22,-10,-22,18,37,-18,-20,-33,-17,29,25,24,55,27
p104,10,2,1,-10,8,-20,1,-9,4,-15,13,11,-22,-9,-13,-16,-15
p105,-2,1,20,-6,-8,-33,13,9,-8,11,-13,-3,-22,3,-15,9,4
p106,-3,-28,-2,5,13,-11,27,10,-9,-16,-16,-19,-6,0,18,16,26
p107,18,-12,-3,7,-2,8,19,-8,4,1,-8,-3,-10,4,10,-19,-25
p108,21,-12,-1,2,6,2,10,-3,-13,-27,-2,-19,8,-9,8,3,5
p109,-20,-10,7,10,-26,-16,-19,-31,21,24,24,26,-26,-27,-25,-19,0
p110,-17,1,-11,-31,-25,-28,10,14,-23,-22,-9,-20,25,26,19,20,29
p111,-12,-6,-15,-5,-6,-27,-4,13,-8,-6,10,-7,13,-18,-15,2,-5
p112,13,17,16,-11,10,7,13,6,-5,8,1,-8,-20,-4,-16,-25,-15
p113,-15,-27,5,14,23,7,-1,20,14,9,0,13,-6,-12,-22,8,-15
p114,13,8,40,-4,1,-18,-3,23,-19,-12,-12,-3,25,13,32,-1,0
p115,-7,-9,9,-13,8,-13,-38,-2,38,22,36,25,-13,-25,-11,-25,-3
p116,-10,8,-20,-2,15,7,-10,-5,8,37,53,16,-21,-30,-11,-42,-2
p117,15,9,-12,-27,3,10,-10,9,4,8,-8,-4,-25,-8,-2,-12,13
p118,6,21,13,-15,-15,-10,-26,6,-4,-21,0,-9,5,2,-13,-23,-9
p119,-25,-24,-4,2,-1,3,-2,3,7,-14,-8,12,9,14,6,-10,10
p120,10,3,-5,-10,-17,-14,21,11,-21,-9,-12,-18,12,19,26,16,29
p121,-5,-9,-12,12,5,-8,-10,5,-14,5,-12,-10,6,1,-14,-12,-26
p122,3,13,3,-6,16,-4,11,12,-15,-9,-14,0,24,8,33,8,-4
p123,18,8,28,-12,3,7,19,5,6,-11,-17,-3,13,-5,10,5,16
p124,-5,2,-14,7,33,20,22,9,36,13,15,33,-25,-25,-45,-25,-13
p125,1,4,-2,16,22,12,-11,2,26,28,23,27,-19,-10,-2,-31,-29
p126,-8,-15,13,-21,6,0,24,23,-5,-14,-1,-22,28,43,27,15,33
p127,-4,16,19,4,-2,18,17,12,-11,8,26,6,-9,-5,5,-7,4
p128,3,2,1,-33,-34,-31,8,8,-42,-5,-20,-12,34,35,46,43,50
p129,25,23,30,23,30,18,-19,-2,25,32,21,22,-28,-35,-39,-18,-26
p130,15,11,11,-4,15,2,-5,12,-1,5,10,12,19,-1,0,-2,-5
p131,-11,-4,-18,0,-8,-7,10,5,-15,8,9,-7,27,7,31,10,15
p132,-11,-12,-2,19,-8,5,8,21,5,-15,4,0,9,14,1,4,4
p133,-1,-3,-3,15,0,5,-20,-16,6,15,22,5,-12,-19,7,-18,-8
p134,6,-14,2,-31,-8,-12,-8,12,-19,5,5,-13,18,20,34,26,31
p135,-2,-22,-6,5,25,3,3,-1,-4,1,-3,8,-9,-3,-15,-2,-2
p136,-7,-5,14,8,16,14,25,6,-7,-8,-26,-13,5,31,21,18,42
p137,11,5,8,6,-17,4,19,23,-15,-2,-7,25,10,6,6,10,2
p138,13,22,9,14,1,3,0,23,-13,-8,-24,-2,30,18,10,19,17
p139,10,8,-2,2,-2,25,-14,1,24,7,29,27,-27,-15,-27,1,-36
p140,-14,-6,0,7,11,5,11,5,19,6,-20,-19,-2,37,15,6,10
p141,-4,12,2,-16,12,-15,-2,-12,-1,2,-27,-1,43,18,33,22,24
p142,-13,-10,-10,21,15,2,-22,-12,18,-2,20,32,-12,-16,5,-7,3
p143,-19,15,9,-1,-24,0,10,37,-34,-25,-47,-9,25,38,13,13,5
p144,-33,-5,-6,-16,-34,-12,17,30,-21,-21,-28,-29,15,30,15,17,9
p145,13,1,8,12,6,-5,-40,-34,52,26,20,28,-9,-8,-13,-12,-15
p146,-15,9,-8,10,-11,14,-30,-17,25,16,22,28,-8,-16,-12,-9,3
p147,0,1,-20,21,22,10,-11,-20,27,32,37,32,-42,-30,-31,-26,-22
p148,-16,-19,-5,-1,32,0,2,1,-3,10,-5,-5,-2,12,-12,7,3
p149,14,22,15,-16,-10,-5,-18,3,23,17,9,-1,-27,-22,-7,-27,-13
p150,18,-9,-9,-5,11,20,-21,-9,15,22,22,12,-32,-39,-25,-40,-30
p151,-13,-18,5,6,-19,-5,9,0,3,-10,4,-13,9,9,0,-1,-9
p152,23,8,23,-5,22,20,-6,-7,-10,-15,-16,-21,23,9,12,24,12
p153,0,12,-8,26,-2,12,-17,15,-7,12,3,2,7,-3,-29,-8,6
p154,11,-1,6,-10,-6,-4,-26,-21,7,14,6,-3,-20,-4,-5,-15,2
p155,-17,-14,-14,19,2,-5,25,10,4,-8,4,-8,8,18,-1,23,-13
p156,-16,4,12,-2,-8,-29,11,-16,-3,-22,-22,-3,40,6,13,19,12
p157,-21,-12,-17,6,1,18,-14,1,-7,-15,1,-5,1,24,4,10,-12
p158,18,13,19,13,-9,27,-7,-1,45,40,22,40,-52,-41,-33,-21,-25
p159,20,15,-18,-9,-12,-10,0,-1,-15,11,-11,4,-10,-1,5,8,23
p160,-7,-9,-9,18,1,-16,11,-8,-17,-18,-17,-21,-2,-3,6,11,-15
p161,4,13,-7,42,45,34,-13,3,6,30,17,17,-40,-22,-18,-48,-11
p162,-20,-20,13,-31,-23,-4,6,8,-22,-8,-12,-26,0,11,32,27,30
p163,17,-15,19,15,14,29,-10,-17,11,26,44,30,-22,-33,-30,-34,-20
p164,-1,-17,5,18,2,5,4,-7,7,4,-9,7,21,6,8,15,0
p165,-12,-11,-15,-19,-8,9,-6,-14,5,6,17,-15,-20,-13,-22,-21,0
p166,-10,11,3,3,10,-17,-10,-1,9,12,33,27,-9,4,-3,-7,2
p167,21,4,1,1,-1,17,-6,-7,1,-8,-13,22,-27,-26,-13,-16,-38
p168,-10,-15,-18,-9,-8,16,13,32,-27,-21,-31,-7,17,27,47,30,28
p169,5,-4,26,5,11,-3,6,-22,12,-1,3,-27,-26,-9,-21,-23,-8
p170,0,-1,-13,-10,-6,-14,20,5,-16,6,-15,-19,18,1,5,9,33
p171,7,-12,-15,28,-1,6,-12,0,13,7,27,2,-8,8,-16,-13,-9
p172,13,-5,-11,15,15,18,14,7,37,18,25,-1,2,13,16,-2,-18
p173,-1,-19,3,15,-4,20,-11,-10,21,34,21,7,1,5,-8,6,1
p174,6,-3,-1,-2,14,16,-8,-6,-3,8,-13,-11,8,-20,-18,-3,-11
p175,-23,-16,-6,5,-17,-11,-2,7,-19,5,-20,1,23,8,18,2,6
p176,-3,6,-6,8,15,-13,23,18,-27,-14,-32,-23,5,4,18,17,-12
p177,-20,-21,-13,-12,-32,-10,-21,-7,38,23,21,48,2,0,-28,-11,-7
p178,-14,-39,-22,-6,-17,2,-1,-17,3,4,-4,-14,-4,-2,12,-3,11
p179,15,23,-5,9,6,5,27,-2,-20,-15,-28,-16,50,21,34,38,50
p180,2,-2,17,4,15,20,-10,-25,6,8,9,3,-16,-13,0,-29,0
p181,9,5,23,-9,-3,-12,24,-10,8,12,12,19,-45,-47,-38,-30,-42
p182,-2,7,11,6,7,20,-9,-6,10,19,29,28,-13,-11,-42,-20,-22
p183,-8,-24,-20,0,-3,-21,-22,-42,-14,10,7,14,-18,-18,-22,-5,-11
p184,2,9,8,19,12,18,-4,18,-14,-23,-11,-15,-21,-27,-17,-14,-2
