id,math_interest,math_anxiety,engage,class_climate,persistence,achieve,teacher_quality
p1,4,20,19,20,12,-0.42484596169953304,0.14253117002898855
p2,6,17,22,14,15,-0.6301270700325723,-0.346533192591131
p3,7,17,21,20,13,-0.5780921396574278,-0.1679029981340828
p4,10,17,23,17,19,-1.4301895261199074,-0.8434186612785047
p5,5,20,30,22,21,0.032753158547160016,0.28754445632563597
p6,9,20,24,17,15,-1.8980545506927329,-0.6273796982582691
p7,12,18,30,20,16,-1.071767626542377,0.41274614812702215
p8,14,18,25,13,19,-1.5890177309269706,0.500777488891275
p9,6,17,27,24,8,-0.9337024121434734,-0.39265926128200007
p10,7,18,34,22,18,-0.07602113320919543,-0.07336379882971136
p11,8,19,22,17,16,0.003528462336966644,-0.877704067260593
p12,8,18,26,18,20,-0.2258581975123105,0.3039084415609262
p13,10,18,32,8,21,-0.8931089600629893,-0.8579137319002694
p14,8,19,23,22,18,-0.27106498894468184,0.602659947754914
p15,4,20,19,15,11,-2.239602977678531,0.0019633288868700902
p16,4,17,18,17,11,-2.683367596990044,-0.25677849632989763
p17,4,17,24,19,12,0.31917063406591273,-0.6772951220926025
p18,4,17,25,13,19,0.3258487837682868,-0.6976626412664211
p19,4,20,13,15,14,-1.605529914080481,-0.9790996688231931
p20,7,17,26,17,16,-0.6824993508170494,-0.676285673680341
p21,4,20,25,16,11,-0.18066641176542403,-0.07124347974154424
p22,4,17,26,21,19,-0.44928483527722807,-0.7919819795468035
p23,13,17,28,22,25,-0.7313358652789452,0.6164224640739641
p24,9.333333333333334,19,32,19,15,-0.34018853966383866,1.0054766960991672
p25,8,18,31,19,19,-1.275315801000247,1.2623220416143153
p26,4,17,10,12,16,-1.6246648259322045,0.49750163334967673
p27,7,17,21,21,14,-0.7063183615445451,0.022901147193808116
p28,8,17,11,15,11,0.4181129660954822,-1.2311526546501843
p29,4,20,23,17,16,-0.7037028797814457,-1.5308954674711404
p30,4,20,23,13,15,-0.3077093906871069,-0.9607986052067441
p31,5,19,21,11,8,-0.345155284602988,-1.1062930922018863
p32,10,18,31,17,18,-0.5439992053271847,0.6905920292208064
p33,9,20,25,14,18,-0.7030881057062294,-0.3242587040495386
