profession,roses,music,voice,light
Graduate student,7.5443,2.853,8.0297,10.364
Graduate student,5.2256,2.746,10.023,10.205
Graduate student,2.9527,3.3046,7.3485,12.512
Graduate student,7.8928,2.0962,9.913,10.978
Graduate student,5.8183,6.0639,9.7329,8.9423
Graduate student,5.0972,2.9113,4.9915,12.253
Graduate student,6.4231,3.4629,9.5704,7.3928
Graduate student,8.3721,3.4929,7.0785,12.015
Graduate student,9.375,1.8077,8.4946,12.007
Graduate student,6.0047,2.7071,13.785,13.938
Graduate student,8.2092,6.1942,5.6841,7.7327
Graduate student,5.9762,1.5931,8.6063,6.7075
Graduate student,2.9529,4.3924,8.3751,6.1915
Graduate student,8.5128,5.6065,9.7161,13.542
Graduate student,6.8771,2.7594,6.2504,9.455
Graduate student,6.1628,5.7061,6.6097,9.4958
Graduate student,4.452,2.267,6.8947,5.3522
Graduate student,7.7807,3.2576,9.8103,8.6079
Graduate student,5.588,5.4881,5.1624,8.6024
Graduate student,7.2866,2.0819,9.2013,5.2658
Graduate student,4.3022,4.3091,6.9311,11.466
Graduate student,5.6443,6.3711,3.6677,9.4241
Graduate student,6.9603,0.87704,10.631,5.434
Graduate student,9.594,5.8582,9.9963,13.221
Graduate student,6.8785,5.5779,7.3513,9.922
Graduate student,5.6402,6.6809,8.4303,10.474
Graduate student,3.1787,5.6748,4.5307,11.628
Graduate student,9.3878,1.5292,9.3997,12.348
Graduate student,7.3522,2.9541,6.5309,13.176
Graduate student,5.5606,2.8772,7.5176,10.531
Graduate student,7.5987,2.1764,8.799,8.8939
Graduate student,6.6852,-1.4734,5.9456,13.032
Graduate student,8.7668,2.3728,8.5771,12.85
Graduate student,4.1064,3.9188,2.6972,9.0417
Graduate student,3.6679,3.8338,10.59,6.9375
Graduate student,8.7403,2.6754,9.9498,3.6065
Graduate student,3.9631,0.70336,8.1753,7.93
Graduate student,11.594,5.4534,6.9077,7.3123
Graduate student,8.1284,2.901,6.8394,8.8234
Graduate student,6.9592,2.7739,8.1616,11.058
Graduate student,6.126,5.3674,6.0992,12.266
Graduate student,5.7635,-0.53561,12.364,12.663
Graduate student,5.2502,4.1392,7.446,6.4168
Graduate student,8.0821,5.8666,6.9797,14.465
Graduate student,4.1952,8.2366,4.4775,11.307
Graduate student,5.9529,2.9133,7.909,9.223
Graduate student,4.872,5.2713,8.9916,14.046
Graduate student,7.3226,2.813,6.8282,13.952
Graduate student,8.2179,4.9244,10.269,8.2013
Graduate student,7.8166,4.6396,8.8495,10.924
Engineer,9.1487,1.9248,8.9911,6.7845
Engineer,5.3937,2.4424,6.6733,8.5205
Engineer,10.359,4.3511,9.1093,11.202
Engineer,6.6545,-0.22425,4.2741,6.1209
Engineer,4.9711,2.8895,5.2685,12.254
Engineer,8.1982,7.5137,6.0951,9.7481
Engineer,7.8011,6.7947,4.4928,11.463
Engineer,6.4507,5.3661,7.2189,11.043
Engineer,7.3712,0.29307,7.4646,12.13
Engineer,3.9297,4.8728,9.6769,6.8162
Engineer,5.6479,4.0587,2.7402,8.0378
Engineer,2.3507,1.3595,4.1333,10.255
Engineer,6.5451,1.6388,7.1632,6.4672
Engineer,6.9303,3.6325,7.5279,14.275
Engineer,8.1812,1.9006,7.0358,6.3311
Engineer,8.0442,2.2595,9.8133,7.2453
Engineer,7.5389,4.1484,0.51519,7.4195
