salesperson,years_experience,female,sales,dealership,dealership_awards
p1,6,no,12.221980004784465,Dealership 1,1
p2,10,yes,32.30343974704741,Dealership 1,1
p3,10,no,26.262249933433523,Dealership 1,1
p4,10,yes,44.86395133132935,Dealership 1,1
p5,10,yes,33.2038593875885,Dealership 1,1
p6,10,no,28.384169241142267,Dealership 1,1
p7,12,yes,20.10589014644623,Dealership 1,1
p8,12,yes,13.621470006656647,Dealership 1,1
p9,12,yes,82.21741824264528,Dealership 1,1
p10,12,yes,14.790619931769372,Dealership 1,1
p11,12,yes,14.825519898486142,Dealership 1,1
p12,12,yes,17.125429826927178,Dealership 1,1
p13,12,yes,48.64013055915832,Dealership 1,1
p14,14,yes,83.3691179763794,Dealership 1,1
p15,14,yes,42.44189047927854,Dealership 1,1
p16,14,yes,67.83512723083494,Dealership 1,1
p17,14,yes,87.60249234313962,Dealership 1,1
p18,14,yes,8,Dealership 1,1
p19,14,yes,80.5771206390381,Dealership 1,1
p20,14,yes,34.128710585784916,Dealership 1,1
p21,14,yes,40.74923834915162,Dealership 1,1
p22,14,yes,82.81421324844364,Dealership 1,1
p23,14,yes,24.86624960060119,Dealership 1,1
p24,14,yes,85.70741824264526,Dealership 1,1
p25,14,yes,22.803660153102875,Dealership 1,1
p26,14,yes,86.90448968048096,Dealership 1,1
p27,14,yes,19.414870306205753,Dealership 1,1
p28,14,yes,79.2858177101135,Dealership 1,1
p29,14,yes,35.60149034614563,Dealership 1,1
p30,16,yes,68.80884154434204,Dealership 1,1
p31,16,yes,74.26022250289917,Dealership 1,1
p32,16,yes,44.09615039939881,Dealership 1,1
p33,16,yes,34.683620306205754,Dealership 1,1
p34,16,yes,58.0561503993988,Dealership 1,1
p35,16,yes,69.04965239639283,Dealership 1,1
p36,16,yes,60.84117157096862,Dealership 1,1
p37,16,yes,27.79087063903809,Dealership 1,1
p38,16,yes,22.011430159759527,Dealership 1,1
p39,16,yes,59.4451695739746,Dealership 1,1
p40,16,no,12,Dealership 1,1
p41,18,yes,52.07777936096191,Dealership 1,1
p42,18,yes,82.81421324844364,Dealership 1,1
p43,18,yes,35.22806078548431,Dealership 1,1
p44,18,yes,45.4851695739746,Dealership 1,1
p45,20,yes,94.10435872192382,Dealership 1,1
p46,20,yes,29.825539613914486,Dealership 1,1
p47,20,yes,18.98211005325317,Dealership 1,1
p48,10,no,49.01355845565795,Dealership 2,3
p49,12,yes,39.2171295606613,Dealership 2,3
p50,12,yes,20.93650985355377,Dealership 2,3
p51,14,yes,82.1999711715698,Dealership 2,3
p52,14,yes,75.33863255615233,Dealership 2,3
p53,14,yes,27.909530359458923,Dealership 2,3
p54,14,no,47.29298834915163,Dealership 2,3
p55,16,no,31.172680159759523,Dealership 2,3
p56,16,yes,76.0017277633667,Dealership 2,3
p57,16,yes,38.03751018638611,Dealership 2,3
p58,16,yes,37.678039613914486,Dealership 2,3
p59,16,yes,24.129859720420843,Dealership 2,3
p60,18,yes,59.06127077217103,Dealership 2,3
p61,18,yes,86.61133095855712,Dealership 2,3
p62,18,yes,94.08341691131592,Dealership 2,3
p63,18,yes,49.39048109169004,Dealership 2,3
p64,18,yes,91.78351218338013,Dealership 2,3
p65,18,yes,66.58571125144957,Dealership 2,3
p66,18,yes,56.50310146446227,Dealership 2,3
p67,18,yes,79.94543149108887,Dealership 2,3
p68,20,yes,77.38027936096191,Dealership 2,3
p69,20,yes,76.01918149108887,Dealership 2,3
p70,20,yes,84.00430186386107,Dealership 2,3
p71,22,yes,17.292950166416176,Dealership 2,3
p72,22,yes,86.1331973373413,Dealership 2,3
p73,8,no,35.4514195739746,Dealership 3,0
p74,10,no,29.13451977367401,Dealership 3,0
p75,10,no,37.17547942752838,Dealership 3,0
p76,10,no,16.423939913463585,Dealership 3,0
p77,10,no,42.83975159759522,Dealership 3,0
p78,12,no,20.029109886837002,Dealership 3,0
p79,12,no,33.58775985355377,Dealership 3,0
p80,12,no,61.49031111831665,Dealership 3,0
p81,12,no,62.04871058578491,Dealership 3,0
p82,12,no,92.66648308868407,Dealership 3,0
p83,12,no,32.67337956066132,Dealership 3,0
p84,12,no,14.521890063238143,Dealership 3,0
p85,12,no,35.64686038608551,Dealership 3,0
p86,12,no,21.617059620571137,Dealership 3,0
p87,12,no,39.99539973373413,Dealership 3,0
p88,12,no,28.42604953403472,Dealership 3,0
p89,14,no,33.612189747047424,Dealership 3,0
p90,14,no,23.156150399398808,Dealership 3,0
p91,14,no,44.773211251449574,Dealership 3,0
p92,14,yes,22.44768015975952,Dealership 3,0
p93,14,no,52.24180912132262,Dealership 3,0
p94,14,no,56.192489014816275,Dealership 3,0
p95,14,no,42.41396917457581,Dealership 3,0
p96,14,no,35.37812989349364,Dealership 3,0
p97,14,no,33.975150066566464,Dealership 3,0
p98,14,no,15.879499850225454,Dealership 3,0
p99,14,no,8.941379935097695,Dealership 3,0
p100,14,no,36.55774926776885,Dealership 3,0
p101,14,no,49.19155053253175,Dealership 3,0
p102,14,no,40.686419573974604,Dealership 3,0
p103,16,no,11.747339998491851,Dealership 3,0
p104,16,no,34.78831937427522,Dealership 3,0
p105,16,no,32.71874960060119,Dealership 3,0
p106,16,no,56.00752077217103,Dealership 3,0
p107,16,no,80.97498175735473,Dealership 3,0
p108,16,no,31.06099993343353,Dealership 3,0
p109,16,no,50.751578961563105,Dealership 3,0
p110,16,no,24.314829627227788,Dealership 3,0
p111,16,no,23.67616015310288,Dealership 3,0
p112,18,no,36.55774926776885,Dealership 3,0
p113,18,no,30.000040279579153,Dealership 3,0
p114,18,no,46.6927085887909,Dealership 3,0
p115,18,no,49.62780053253175,Dealership 3,0
p116,18,no,50.276940079879765,Dealership 3,0
p117,18,no,89.27769074554443,Dealership 3,0
p118,20,no,8,Dealership 3,0
p119,20,no,37.458170572471616,Dealership 3,0
p120,22,no,54.29043874855043,Dealership 3,0
p121,14,no,85.49103728408815,Dealership 4,4
p122,14,no,89.94776877517704,Dealership 4,4
p123,16,no,28.394640146446225,Dealership 4,4
p124,16,no,48.41677010650635,Dealership 4,4
p125,16,no,59.80812989349364,Dealership 4,4
p126,16,no,51.198299866867075,Dealership 4,4
p127,16,no,20.563080292892458,Dealership 4,4
p128,16,no,75.87957829589843,Dealership 4,4
p129,16,yes,63.28067949409485,Dealership 4,4
p130,18,no,67.77230845565794,Dealership 4,4
p131,18,no,86.49965239639282,Dealership 4,4
p132,18,yes,57.979369307708744,Dealership 4,4
p133,18,yes,99.02177010650632,Dealership 4,4
p134,18,no,86.49965239639282,Dealership 4,4
p135,18,no,34.45677010650635,Dealership 4,4
p136,18,yes,86.78932303543091,Dealership 4,4
p137,18,yes,60.48867882843018,Dealership 4,4
p138,18,no,66.43912856216431,Dealership 4,4
p139,18,no,50.032641144943234,Dealership 4,4
p140,18,yes,93.58086005325318,Dealership 4,4
p141,18,yes,67.62922050590517,Dealership 4,4
p142,20,yes,90.93544207687377,Dealership 4,4
p143,20,no,73.27254920120241,Dealership 4,4
p144,20,yes,43.77157896156311,Dealership 4,4
p145,20,yes,56.6845816242218,Dealership 4,4
p146,20,yes,48.60173834915162,Dealership 4,4
p147,20,no,43.070091544342034,Dealership 4,4
p148,20,yes,60.55150093193054,Dealership 4,4
p149,22,yes,68.53661797637939,Dealership 4,4
p150,22,yes,84.20671717758177,Dealership 4,4
p151,22,yes,94.92102276916505,Dealership 4,4
p152,10,no,40.599170905303964,Dealership 5,2
p153,12,no,52.03939047927856,Dealership 5,2
p154,14,yes,51.938179494094854,Dealership 5,2
p155,14,no,86.49965239639282,Dealership 5,2
p156,14,no,66.08315106506349,Dealership 5,2
p157,16,no,71.83466691131594,Dealership 5,2
p158,16,no,47.11849101181029,Dealership 5,2
p159,16,yes,50.409560452651974,Dealership 5,2
p160,16,no,39.91513055915832,Dealership 5,2
p161,16,no,74.1590081893921,Dealership 5,2
p162,16,no,36.33439047927855,Dealership 5,2
p163,16,no,46.926539946746836,Dealership 5,2
p164,16,yes,77.50242882843017,Dealership 5,2
p165,16,no,58.46797050590515,Dealership 5,2
p166,16,no,36.721780692291254,Dealership 5,2
p167,16,no,82.50708888168333,Dealership 5,2
p168,18,no,23.034000099849706,Dealership 5,2
p169,18,no,36.131970173072816,Dealership 5,2
p170,18,no,48.0712601863861,Dealership 5,2
p171,18,no,44.103129893493644,Dealership 5,2
p172,18,no,54.66386997337341,Dealership 5,2
p173,18,no,41.049379893493644,Dealership 5,2
p174,18,yes,93.30514840240475,Dealership 5,2
p175,18,yes,77.8933071243286,Dealership 5,2
p176,18,yes,66.8823613845825,Dealership 5,2
p177,18,no,71.9847410118103,Dealership 5,2
p178,20,yes,59.528930159759526,Dealership 5,2
p179,20,no,50.28043149108887,Dealership 5,2
p180,20,yes,82.41984021301269,Dealership 5,2
p181,20,no,28.58309980030059,Dealership 5,2
p182,20,no,94.6348402130127,Dealership 5,2
p183,20,no,44.382329627227776,Dealership 5,2
p184,20,no,52.95725885505676,Dealership 5,2
p185,20,yes,52.35349101181029,Dealership 5,2
p186,22,yes,27.529119640541076,Dealership 5,2
p187,22,no,81.73230845565794,Dealership 5,2
p188,22,no,49.00309087867737,Dealership 5,2
p189,10,yes,25.03028019304276,Dealership 6,3
p190,10,no,8.941379935097695,Dealership 6,3
p191,12,yes,39.90465965385436,Dealership 6,3
p192,12,no,23.889049700450894,Dealership 6,3
p193,14,yes,22.03237030620575,Dealership 6,3
p194,14,yes,69.37771191711424,Dealership 6,3
p195,14,yes,52.44771917457581,Dealership 6,3
p196,14,yes,71.79278994674681,Dealership 6,3
p197,14,yes,52.381408988189705,Dealership 6,3
p198,16,yes,47.74668874855041,Dealership 6,3
p199,16,yes,38.03751018638611,Dealership 6,3
p200,16,yes,41.24481904144287,Dealership 6,3
p201,16,yes,39.2624996006012,Dealership 6,3
p202,16,yes,62.91073968048096,Dealership 6,3
p203,16,yes,62.71878861541747,Dealership 6,3
p204,16,yes,77.01383095855714,Dealership 6,3
p205,16,no,8.941379935097695,Dealership 6,3
p206,16,yes,50.29089906806946,Dealership 6,3
p207,16,yes,42.124298535537726,Dealership 6,3
p208,18,yes,47.35929853553772,Dealership 6,3
p209,18,yes,64.2788203727722,Dealership 6,3
p210,18,yes,47.33836005325317,Dealership 6,3
p211,18,yes,38.19456045265198,Dealership 6,3
p212,18,yes,66.43214906806946,Dealership 6,3
p213,18,yes,68.66226218338011,Dealership 6,3
p214,20,yes,85.58178069229125,Dealership 6,3
p215,20,yes,75.01754920120243,Dealership 6,3
p216,20,yes,73.95659287567138,Dealership 6,3
p217,20,yes,77.18135213012692,Dealership 6,3
p218,22,yes,48.96469866867065,Dealership 6,3
p219,10,yes,21.850890146446233,Dealership 7,2
p220,12,no,25.515389980030058,Dealership 7,2
p221,12,yes,16.486759936761846,Dealership 7,2
p222,12,yes,66.09013055915833,Dealership 7,2
p223,12,yes,38.505169573974605,Dealership 7,2
p224,12,yes,8,Dealership 7,2
p225,12,yes,53.896069041442864,Dealership 7,2
p226,14,no,32.04866990680694,Dealership 7,2
p227,14,yes,31.001669241142267,Dealership 7,2
p228,14,no,20.203609720420836,Dealership 7,2
p229,14,yes,40.651518775177,Dealership 7,2
p230,14,yes,40.00237922782899,Dealership 7,2
p231,16,yes,77.42216298217775,Dealership 7,2
p232,16,no,77.9247198402405,Dealership 7,2
p233,16,yes,43.220158988189716,Dealership 7,2
p234,18,no,8,Dealership 7,2
p235,18,no,69.20320792312621,Dealership 7,2
p236,18,yes,69.9500703727722,Dealership 7,2
p237,18,yes,48.7657714378357,Dealership 7,2
p238,18,yes,95.69929127807617,Dealership 7,2
p239,18,yes,38.33067057247162,Dealership 7,2
p240,18,yes,84.8419010650635,Dealership 7,2
p241,20,no,12.092850003120304,Dealership 7,2
p242,20,no,8,Dealership 7,2
p243,20,yes,70.28511271591185,Dealership 7,2
p244,20,yes,93.52851218338012,Dealership 7,2
p245,22,yes,88.87634154434204,Dealership 7,2
p246,22,no,12.958370014977454,Dealership 7,2
p247,14,yes,65.00474101181031,Dealership 8,9
p248,14,yes,83.78792090530398,Dealership 8,9
p249,14,yes,69.99544207687377,Dealership 8,9
p250,14,yes,82.7234698402405,Dealership 8,9
p251,16,yes,93.43428069229128,Dealership 8,9
p252,16,yes,62.554758855056754,Dealership 8,9
p253,18,yes,73.11898701782223,Dealership 8,9
p254,18,yes,92.17787856216428,Dealership 8,9
p255,18,yes,95.70976218338014,Dealership 8,9
p256,18,yes,51.854418908309945,Dealership 8,9
p257,18,yes,61.34721984024047,Dealership 8,9
p258,18,yes,77.11503861541748,Dealership 8,9
p259,18,yes,80.09898701782225,Dealership 8,9
p260,20,yes,69.01125685806277,Dealership 8,9
p261,20,yes,58.05265898818971,Dealership 8,9
p262,20,yes,56.841628562164296,Dealership 8,9
p263,20,yes,89.21487197036745,Dealership 8,9
p264,20,yes,70.1629632484436,Dealership 8,9
p265,20,yes,83.1562317573547,Dealership 8,9
p266,20,yes,98.39008095855714,Dealership 8,9
p267,20,yes,78.22137330169676,Dealership 8,9
p268,20,yes,99.02177010650632,Dealership 8,9
p269,20,no,97.22791031951904,Dealership 8,9
p270,20,yes,93.20742882843018,Dealership 8,9
p271,20,yes,88.90077143783569,Dealership 8,9
p272,20,yes,77.15342749710084,Dealership 8,9
p273,20,yes,90.95637723083493,Dealership 8,9
p274,22,yes,76.66134154434205,Dealership 8,9
p275,22,yes,84.14739314193727,Dealership 8,9
p276,22,yes,98.39008095855714,Dealership 8,9
p277,22,yes,76.34724101181031,Dealership 8,9
p278,22,yes,97.02548834915159,Dealership 8,9
p279,22,yes,88.87634154434204,Dealership 8,9
p280,22,yes,94.0624817573547,Dealership 8,9
p281,22,yes,67.60827869529724,Dealership 8,9
p282,12,yes,75.66669207687377,Dealership 9,7
p283,14,yes,79.56851218338011,Dealership 9,7
p284,14,yes,72.74905053253173,Dealership 9,7
p285,14,yes,77.27907170410155,Dealership 9,7
p286,14,yes,87.0405981361389,Dealership 9,7
p287,16,yes,77.3035015975952,Dealership 9,7
p288,16,yes,90.64227669830322,Dealership 9,7
p289,16,yes,75.76789973373413,Dealership 9,7
p290,18,yes,45.16408954734801,Dealership 9,7
p291,18,yes,35.52121950740814,Dealership 9,7
p292,18,yes,96.02036797637938,Dealership 9,7
p293,18,yes,90.59341691131594,Dealership 9,7
p294,18,yes,50.1896914112091,Dealership 9,7
p295,18,yes,55.543349467468246,Dealership 9,7
p296,18,yes,70.72833888168333,Dealership 9,7
p297,18,yes,64.35560146446228,Dealership 9,7
p298,18,yes,31.026100798797607,Dealership 9,7
p299,18,yes,58.813480426025386,Dealership 9,7
p300,18,yes,72.85375292892454,Dealership 9,7
p301,18,yes,69.61852276916505,Dealership 9,7
p302,18,yes,78.05035739059446,Dealership 9,7
p303,20,yes,91.60552010650633,Dealership 9,7
p304,20,yes,67.2139089881897,Dealership 9,7
p305,20,yes,67.76882037277221,Dealership 9,7
p306,20,yes,92.01385213012693,Dealership 9,7
p307,20,yes,90.16414973373412,Dealership 9,7
p308,20,yes,61.1378183757782,Dealership 9,7
p309,20,yes,75.10479786987305,Dealership 9,7
p310,20,yes,84.45102276916506,Dealership 9,7
p311,20,yes,64.60687989349363,Dealership 9,7
p312,20,yes,83.07595925445555,Dealership 9,7
p313,20,yes,93.01198968048098,Dealership 9,7
p314,20,yes,92.31748175735473,Dealership 9,7
p315,20,yes,57.584999600601186,Dealership 9,7
p316,20,yes,76.25999234313963,Dealership 9,7
p317,22,yes,99.02177010650632,Dealership 9,7
p318,22,yes,77.56175952072144,Dealership 9,7
p319,22,yes,82.53151877517702,Dealership 9,7
p320,22,yes,71.48567223663328,Dealership 9,7
p321,22,yes,89.92682696456909,Dealership 9,7
p322,22,yes,97.22791031951904,Dealership 9,7
p323,22,yes,87.88866824264527,Dealership 9,7
p324,22,yes,66.2925492012024,Dealership 9,7
p325,22,yes,77.50242882843017,Dealership 9,7
p326,12,yes,25.044240013313292,Dealership 10,5
p327,12,yes,89.21487197036745,Dealership 10,5
p328,14,no,8,Dealership 10,5
p329,14,yes,74.61271191711424,Dealership 10,5
p330,14,yes,21.899749933433526,Dealership 10,5
p331,16,yes,61.20412856216431,Dealership 10,5
p332,16,yes,57.03357962722778,Dealership 10,5
p333,16,yes,10.616580001664163,Dealership 10,5
p334,18,yes,77.51638781661984,Dealership 10,5
p335,18,yes,77.12550952072142,Dealership 10,5
p336,18,yes,85.40030053253172,Dealership 10,5
p337,18,yes,75.01406111831666,Dealership 10,5
p338,18,yes,67.350020772171,Dealership 10,5
p339,20,yes,62.68389114494324,Dealership 10,5
p340,20,yes,55.75275093193055,Dealership 10,5
p341,20,yes,85.11062989349365,Dealership 10,5
p342,20,yes,76.25999234313963,Dealership 10,5
p343,20,yes,84.83491824264526,Dealership 10,5
p344,20,yes,72.26394074554443,Dealership 10,5
p345,20,yes,76.25999234313963,Dealership 10,5
p346,20,yes,90.96684813613889,Dealership 10,5
p347,22,yes,99.02177010650632,Dealership 10,5
p348,22,yes,58.26206045265198,Dealership 10,5
p349,22,yes,70.87841298217774,Dealership 10,5
p350,22,yes,77.61061930770876,Dealership 10,5
p351,22,yes,97.23139840240476,Dealership 10,5
p352,22,yes,90.18509154434204,Dealership 10,5
p353,22,yes,72.81186930770876,Dealership 10,5
p354,22,yes,92.37331771011351,Dealership 10,5
p355,22,yes,97.45825026626589,Dealership 10,5
p356,22,yes,75.52011271591185,Dealership 10,5
p357,22,yes,75.73998175735473,Dealership 10,5
p358,22,yes,93.87053069229125,Dealership 10,5
p359,2,no,30.366490346145625,Dealership 11,1
p360,2,no,16.27386997337341,Dealership 11,1
p361,2,no,89.58480845565795,Dealership 11,1
p362,6,no,90.60388781661983,Dealership 11,1
p363,6,no,40.30252077217103,Dealership 11,1
p364,10,no,92.29653994674683,Dealership 11,1
p365,10,no,45.324631224823,Dealership 11,1
p366,10,no,51.06567949409485,Dealership 11,1
p367,10,no,21.19477027292252,Dealership 11,1
p368,10,no,38.92047942752838,Dealership 11,1
p369,12,no,54.66386997337341,Dealership 11,1
p370,12,no,33.92280053253175,Dealership 11,1
p371,12,no,43.45399034614563,Dealership 11,1
p372,12,no,18.688950083208088,Dealership 11,1
p373,12,no,61.62293149108888,Dealership 11,1
p374,12,no,14.315980009984973,Dealership 11,1
p375,12,no,39.590560785484314,Dealership 11,1
p376,12,no,46.37861138458252,Dealership 11,1
p377,12,no,82.0603679763794,Dealership 11,1
p378,12,no,44.73133095855714,Dealership 11,1
p379,12,no,47.35581045265197,Dealership 11,1
p380,12,no,51.85791031951904,Dealership 11,1
