gpa,parents,role,relatives,succeed,intellect,writing,reputation,programs,ranking,office,greek,clubs
3.25,1,2,1,3,4,2,2,2,1,2,3,3
2.9166666666666665,3,1,3,5,3,4,2,1,1,2,4,1
1.3043478260869565,2,2,1,3,4,4,2,2,1,2,3,2
3.4,1,1,1,4,3,5,3,1,3,3,4,7
1.2432432432432432,2,2,2,5,5,4,3,2,1,3,4,3
3.760869565217391,3,1,1,5,5,3,3,3,3,2,3,3
2.275,1,1,1,4,5,3,3,3,1,2,1,4
2.7586206896551726,3,3,2,3,3,2,3,1,2,3,4,3
2.7142857142857144,2,2,2,4,4,3,2,2,2,2,3,3
1.6363636363636365,2.1887072808320953,1.6265060240963856,1,4,4,4,2,2,1,3,4,4
2.358974358974359,3,2,3,4,4,3,3,3,2,3,4,4
1.880952380952381,2.1887072808320953,1.6265060240963856,1.5618479880774963,3,3.696879643387816,3,2.611851851851852,1.6111111111111112,1.6681749622926094,1,3,3
2.0454545454545454,3,2,1,4,5,4,3,2,3,4,4,5
3.6530612244897958,2,1,2,5,4,4,2,1,2,4,4,3
2.6666666666666665,2,1,2,4,3,3,2,1,3,3,3,5
3.0454545454545454,3,3,2,4,5,4,3,3,2,2,3,3
3.702127659574468,1,1,1,4,4,3,3,1,2,2,3,3
2.8,3,3,3,4,3,4,3,1,2,3,4,5
3.5813953488372094,2,1.6265060240963856,2,5,5,4,3,1,2,4,4,7
2.7612828996340424,2,2,2,3,2,4,3,1,2,1,3,2
3.090909090909091,2,1,1,4,4,3,3,3,1,3,4,5
3.6818181818181817,3,1,2,5,4,4,2,2,1,1,4,4
3.7209302325581395,3,1,3,5,5,5,3,1,3,2,4,4
3.4081632653061225,2,1,1,5,3,3,3,2,2,2,2,1
3.1041666666666665,2.1887072808320953,1.6265060240963856,1,3.8462664714494874,3.696879643387816,3.3194650817236258,3,1,1,2,4,2
4,1,1,1,5,4,4,2,2,2,2,4,3
3.088888888888889,1,1,1,4,4,3,3,1,2,2.325077399380805,3.126348228043143,2
2.090909090909091,3,1,1,3,3,4,2,1,2,3,4,2
3.25531914893617,3,1,1,4,4,3,3,2,3,3,3,3
2.18,1,1,2,4,5,3,2,1,1,3,1,5
3.422222222222222,1,1,1,3,3,4,3,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,2
0.6222222222222222,3,2,1,3,3,2,2,2,1,1,3,2
3.6136363636363638,2,2,2,4,4,3,3,2,2,3,4,2
2.7612828996340424,3,3,1,3,2,2,2,1,1,1,2,1
2.533333333333333,2,2,2,3,3,2,3,1,2,2,4,3
3.8297872340425534,2,1.6265060240963856,2,4,4,3,3,3,2,3,4,4
3.409090909090909,2,1,1,4,4,4,3,1,2,2,3,3
0.8888888888888888,3,3,1,3,3,3,3,2,1,1,3,1
2.4166666666666665,3,1,3,3,3,3,3,1,2,1,2,1
2.5869565217391304,2,1,1,3,4,3.3194650817236258,2,1,2,2,4,4
2.0476190476190474,3,1,1,4,4,4,2,1,2,2,3,3
3,3,3,1,3,3,2,2,3,2,3,3.126348228043143,3
1.434782608695652,3,2,3,5,5,3,3,2,3,3,3,3
2.6666666666666665,3,1,2,4,5,4,2,2,1,2,2,6
3.7708333333333335,2,2,1,4,3,3,3,2,2,2,1,2
3.58974358974359,1,1,1,4,5,4,2,1,1,2.325077399380805,4,2
2.2888888888888888,1,2,1,4,4,3,2,1,1,3,4,4
1.6216216216216217,3,2,2,4,2,3,3,1,3,2,4,1
3.16,1,1,1,4,3,4,2,1,2,2,4,5
2.7612828996340424,2,2,2,3,4,3,3,2,2,1,4,2
2.7755102040816326,1,1,1,4,4,4,3,1,2,2,2,2
3.5625,2,2,1,4,4,4,3,2,2,2,4,3
